               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  47,            0.023796,           0.0092334,           0.0067877,             0.92883,             0.91459,             0.92687,             0.78751,            0.013774,            0.002595,           0.0031956,            0.006964,            0.006964,            0.006964
                  48,            0.022783,           0.0091336,           0.0063175,             0.97214,              0.9738,             0.98217,             0.82855,            0.011936,           0.0026121,          0.00051206,            0.006898,            0.006898,            0.006898
                  49,            0.023288,           0.0091832,           0.0055877,             0.96497,             0.96152,             0.97871,              0.8236,            0.014768,           0.0024767,          0.00045542,            0.006832,            0.006832,            0.006832
                  50,            0.022031,           0.0090773,           0.0048077,             0.95688,             0.95718,             0.97424,             0.81941,            0.010982,           0.0024919,          0.00051128,            0.006766,            0.006766,            0.006766
                  51,            0.022361,           0.0089629,           0.0058085,             0.95366,             0.98281,               0.995,             0.82537,            0.010469,            0.002499,          0.00062051,              0.0067,              0.0067,              0.0067
                  52,            0.022605,           0.0090498,            0.005381,             0.95597,             0.96205,             0.97879,             0.83111,            0.011863,           0.0025824,           0.0033968,            0.006634,            0.006634,            0.006634
                  53,             0.02247,           0.0089514,           0.0055977,             0.92453,             0.96606,             0.97366,             0.83443,             0.01053,           0.0024796,          0.00058589,            0.006568,            0.006568,            0.006568
                  54,            0.022008,           0.0089888,           0.0056437,             0.92769,             0.94917,             0.96552,              0.8158,            0.012683,           0.0023976,          0.00086598,            0.006502,            0.006502,            0.006502
                  55,            0.022743,            0.009292,           0.0066508,             0.95598,             0.98275,               0.995,              0.8333,            0.010783,           0.0024812,          0.00049816,            0.006436,            0.006436,            0.006436
                  56,            0.022407,           0.0091552,           0.0073768,             0.95856,             0.96961,             0.98136,             0.84656,            0.011071,           0.0024854,           0.0010826,             0.00637,             0.00637,             0.00637
                  57,            0.022186,           0.0089896,           0.0052543,             0.96502,             0.95647,             0.99197,             0.83989,            0.011808,           0.0023388,          0.00051298,            0.006304,            0.006304,            0.006304
                  58,            0.022734,           0.0091859,           0.0056456,             0.97139,             0.95327,             0.97223,             0.82057,            0.011739,           0.0024893,           0.0010024,            0.006238,            0.006238,            0.006238
                  59,            0.021956,           0.0090332,           0.0058677,             0.95611,             0.95925,             0.96283,             0.83413,            0.013665,           0.0023271,          0.00099947,            0.006172,            0.006172,            0.006172
                  60,            0.021388,           0.0088464,           0.0059056,             0.95637,             0.94857,             0.96896,             0.83258,            0.011489,            0.002401,           0.0019858,            0.006106,            0.006106,            0.006106
                  61,            0.021179,           0.0088166,           0.0062685,              0.9645,             0.95961,             0.97216,             0.83089,            0.012418,            0.002433,          0.00074915,             0.00604,             0.00604,             0.00604
                  62,            0.022209,           0.0089217,           0.0053832,             0.96423,             0.95947,             0.97436,             0.82665,            0.010202,           0.0025204,          0.00043994,            0.005974,            0.005974,            0.005974
                  63,            0.020598,           0.0087393,           0.0046402,             0.96878,             0.96171,             0.97724,             0.84482,            0.010237,           0.0024104,          0.00049016,            0.005908,            0.005908,            0.005908
                  64,            0.021112,           0.0087446,           0.0036285,             0.96608,             0.95845,             0.97709,             0.84645,            0.009852,           0.0023883,          0.00037464,            0.005842,            0.005842,            0.005842
                  65,            0.020832,            0.008621,           0.0045194,             0.96516,             0.96319,             0.97717,              0.8394,           0.0090699,           0.0023461,          0.00031229,            0.005776,            0.005776,            0.005776
                  66,            0.021217,           0.0085465,           0.0046667,             0.93364,             0.96785,             0.97369,             0.83608,            0.010646,           0.0024377,           0.0003172,             0.00571,             0.00571,             0.00571
                  67,            0.021751,           0.0086996,           0.0045458,             0.96873,             0.96025,             0.97723,             0.84451,           0.0098608,           0.0023926,           0.0004566,            0.005644,            0.005644,            0.005644
                  68,            0.022303,           0.0084356,           0.0040853,             0.95698,             0.94516,             0.97726,             0.84875,            0.010648,           0.0024963,           0.0019848,            0.005578,            0.005578,            0.005578
                  69,            0.021933,           0.0086347,           0.0051074,             0.96016,             0.98802,               0.995,             0.84236,            0.011007,           0.0023971,          0.00035392,            0.005512,            0.005512,            0.005512
                  70,            0.021172,           0.0087111,           0.0040373,              0.9657,             0.96732,             0.97734,             0.82904,           0.0090297,            0.002445,          0.00073879,            0.005446,            0.005446,            0.005446
                  71,            0.020398,            0.008485,           0.0039765,             0.95969,             0.98432,               0.995,             0.84619,             0.01111,           0.0024885,          0.00026219,             0.00538,             0.00538,             0.00538
                  72,            0.020139,           0.0085781,           0.0034093,             0.94762,             0.96367,             0.97375,             0.83567,            0.011181,           0.0024548,          0.00028324,            0.005314,            0.005314,            0.005314
                  73,            0.020387,           0.0084143,           0.0037091,             0.91945,             0.97355,             0.97353,             0.85257,            0.011729,           0.0025096,          0.00023256,            0.005248,            0.005248,            0.005248
                  74,            0.019423,           0.0082238,           0.0032258,             0.95442,             0.98822,               0.995,             0.84396,            0.011581,           0.0025824,          0.00031445,            0.005182,            0.005182,            0.005182
                  75,            0.020158,           0.0084245,           0.0036435,             0.95412,             0.96492,             0.97723,             0.85003,            0.010805,           0.0024618,          0.00072043,            0.005116,            0.005116,            0.005116
                  76,            0.020249,           0.0084365,            0.004457,              0.9519,             0.96364,             0.97074,             0.84344,            0.011616,           0.0024983,          0.00032743,             0.00505,             0.00505,             0.00505
                  77,            0.019464,           0.0082666,           0.0044643,             0.96034,             0.96299,             0.98061,             0.83787,            0.012635,           0.0023771,          0.00023105,            0.004984,            0.004984,            0.004984
                  78,            0.019678,            0.008519,           0.0037931,             0.96648,             0.95745,             0.97733,             0.85532,            0.011084,           0.0024288,          0.00052767,            0.004918,            0.004918,            0.004918
